"svspp","stocks","biomass","treatment","year","total","ztotal","lowerci","upperci","ciflag"
"101","unit","yes","YYY","1990","0",NA,"0","0","0"
"101","unit","yes","YYY","1991","0",NA,"0","0","0"
"101","unit","yes","YYY","1992","0",NA,"0","0","0"
"101","unit","yes","YYY","1993","0",NA,"0","0","0"
"101","unit","yes","YYY","1994","0",NA,"0","0","0"
"101","unit","yes","YYY","1995","0",NA,"0","0","0"
"101","unit","yes","YYY","1996","0",NA,"0","0","0"
"101","unit","yes","YYY","1997","0",NA,"0","0","0"
"101","unit","yes","YYY","1998","239187.922120623","239187.922120623","150529.488105448","327945.560145267","0"
"101","unit","yes","YYY","1999","0",NA,"0","0","0"
"101","unit","yes","YYY","2000","0",NA,"0","0","0"
"101","unit","yes","YYY","2001","397669.267878127","397669.267878127","259220.222783422","536138.459218602","0"
"101","unit","yes","YYY","2002","14960.9820156577","14960.9820156577","1985.82380910002","27937.5550138763","0"
"101","unit","yes","YYY","2003","0",NA,"0","0","-1"
"101","unit","yes","YYY","2004","254628.915944113","254628.915944113","111841.784897569","397387.56198837","0"
"101","unit","yes","YYY","2005","373883.986063158","373883.986063158","176849.908881297","570950.131276093","0"
"101","unit","yes","YYY","2006","148044.979469962","148044.979469962","88673.3447886234","207400.437416415","0"
"101","unit","yes","YYY","2007","363960.851901431","363960.851901431","247342.86804978","504763.237594716","0"
"101","unit","yes","YYY","2008","185222.249923359","185222.249923359","103590.784266177","292892.210548784","0"
"101","unit","yes","YYY","2009","235128.922936591","235128.922936591","145452.876282409","324819.878851309","0"
"101","unit","yes","YYY","2010","647247.9045849","647247.9045849","462181.486067455","894332.132141902","0"
"101","unit","yes","YYY","2011","902776.116273055","902776.116273055","299135.785143274","1139411.17140614","0"
"101","unit","yes","YYY","2012","356859.333989748","356859.333989748","206445.054223301","507378.239535593","0"
"101","unit","yes","YYY","2013","475792.16380695","475792.16380695","298524.840247026","652896.679530182","0"
"101","unit","yes","YYY","2014","89492.8645972946","89492.8645972946","4076.10809845407","136308.263318482","0"
"101","unit","yes","YYY","2015","63393.2585447323","63393.2585447323","30001.2955365257","96826.7140927992","0"
"101","unit","yes","YYY","2016","267953.764264116","267953.764264116","182829.696057458","353074.177422973","0"
"101","unit","yes","YYY","2017","0",NA,"0","0","0"
"101","unit","yes","YYY","2018","0",NA,"0","0","0"
"101","unit","yes","NYN","1976","2181642.24903069","2181642.24903069","1115372.49918674","3307742.96522128","0"
"101","unit","yes","NYN","1977","620446.418876202","620446.418876202","296012.94779319","1006076.06164216","0"
"101","unit","yes","NYN","1978","617168.225388271","617168.225388271","237229.367653693","989930.03988056","0"
"101","unit","yes","NYN","1979","506811.557041566","506811.557041566","209227.786299487","846110.780351589","0"
"101","unit","yes","NYN","1980","609637.835713372","609637.835713372","296063.307398477","1182690.23719092","0"
"101","unit","yes","NYN","1981","2286212.78001313","2286212.78001313","1225909.00302259","3397844.92755637","0"
"101","unit","yes","NYN","1982","953904.400831648","953904.400831648","78708.8122643076","2128437.90177318","0"
"101","unit","yes","NYN","1983","129207.744135229","129207.744135229","58494.5973511298","210722.252691615","0"
"101","unit","yes","NYN","1984","491901.375500488","491901.375500488","58501.7184038938","965556.302376992","0"
"101","unit","yes","NYN","1985","311647.291995022","311647.291995022","117364.19044259","505849.298998559","0"
"101","unit","yes","NYN","1986","965160.020977795","965160.020977795","3550.54822512599","1909511.88651535","0"
"101","unit","yes","NYN","1987","454111.676240612","454111.676240612","54484.7010841905","844047.71017003","0"
"101","unit","yes","NYN","1988","15454.1923084748","15454.1923084748","-1.60903754594953e-12","27269.9823736551","0"
"101","unit","yes","NYN","1989","174242.693618206","174242.693618206","25435.6471020907","353844.538260788","0"
"101","unit","yes","NYN","1990","959866.450960089","959866.450960089","311447.777433474","1831577.94512719","0"
"101","unit","yes","NYN","1991","514538.806171651","514538.806171651","174608.470672795","854489.36731287","0"
"101","unit","yes","NYN","1992","708144.025456378","708144.025456378","206733.363261541","1121083.03404965","0"
"101","unit","yes","NYN","1993","221553.051819239","221553.051819239","88165.0851516221","350611.785273571","0"
"101","unit","yes","NYN","1994","73392.569818297","73392.569818297","13159.2855776286","140028.103891265","0"
"101","unit","yes","NYN","1995","200087.453337279","200087.453337279","41924.5320400281","348652.790067803","0"
"101","unit","yes","NYN","1996","365093.000045616","365093.000045616","15154.9716400933","816792.808454167","0"
"101","unit","yes","NYN","1997","678706.060210191","678706.060210191","111330.043773972","1520688.99578847","0"
"101","unit","yes","NYN","1998","546650.659644831","546650.659644831","333619.470994763","759999.865632591","0"
"101","unit","yes","NYN","1999","305285.307216224","305285.307216224","131777.931266516","526933.207067985","0"
"101","unit","yes","NYN","2000","147338.809179199","147338.809179199","65203.4724906872","229461.248587811","0"
"101","unit","yes","NYN","2001","1223959.05488773","1223959.05488773","534135.269578573","1925912.1312532","0"
"101","unit","yes","NYN","2002","810433.798735183","810433.798735183","245719.800617838","1375451.18114949","0"
"101","unit","yes","NYN","2003","280362.95003696","280362.95003696","142983.943964066","417702.572532199","-1"
"101","unit","yes","NYN","2004","735239.831617027","735239.831617027","278367.874588542","1108551.28536173","0"
"101","unit","yes","NYN","2005","816713.892751303","816713.892751303","432582.781538976","1200941.50481733","0"
"101","unit","yes","NYN","2006","396380.350113509","396380.350113509","163713.854661788","628959.67598824","0"
"101","unit","yes","NYN","2007","619498.501077789","619498.501077789","371892.27694401","906732.604288549","0"
"101","unit","yes","NYN","2008","1112027.19936984","1112027.19936984","521343.789771308","1820508.69767058","0"
"101","unit","yes","NYN","2009","501537.34306261","501537.34306261","274443.802387155","728606.655170169","0"
"101","unit","yes","NYN","2010","842607.611974256","842607.611974256","476979.126947255","1249933.73292256","0"
"101","unit","yes","NYN","2011","1771580.0809483","1771580.0809483","645210.468479337","2641817.32185321","0"
"101","unit","yes","NYN","2012","1561463.87468154","1561463.87468154","845119.53647547","2273962.62876667","0"
"101","unit","yes","NYN","2013","891850.377090008","891850.377090008","495247.619338404","1288293.21741096","0"
"101","unit","yes","NYN","2014","1941052.59171593","1941052.59171593","490202.855994567","3434496.85260088","0"
"101","unit","yes","NYN","2015","2629427.90500316","2629427.90500316","1015601.24543366","4330492.69055996","0"
"101","unit","yes","NYN","2016","841984.444508313","841984.444508313","337568.077363635","1531181.94676034","0"
"101","unit","yes","NYN","2017","253329.827676798","253329.827676798","25078.7410210579","485578.240480413","0"
"101","unit","yes","NYN","2018","0",NA,"0","0","0"
"101","unit","yes","YYN","1976","2324687.79067198","2324687.79067198","1249523.16635791","3389492.90629003","0"
"101","unit","yes","YYN","1977","612568.815229983","612568.815229983","283458.618162743","993420.727665783","0"
"101","unit","yes","YYN","1978","654603.817585669","654603.817585669","273712.947776892","1027397.76250097","0"
"101","unit","yes","YYN","1979","558665.120263456","558665.120263456","251909.805889465","884571.343809341","0"
"101","unit","yes","YYN","1980","682841.608706119","682841.608706119","387645.813249075","1281317.46641112","0"
"101","unit","yes","YYN","1981","2386741.4442742","2386741.4442742","1312079.33691999","3494173.77398731","0"
"101","unit","yes","YYN","1982","1140805.91149492","1140805.91149492","297381.871339338","2347727.48899402","0"
"101","unit","yes","YYN","1983","149048.091213557","149048.091213557","78341.2293935945","231664.141862482","0"
"101","unit","yes","YYN","1984","567452.266673163","567452.266673163","134054.685525983","1044359.27879006","0"
"101","unit","yes","YYN","1985","359343.337849417","359343.337849417","165024.814866926","553596.123588271","0"
"101","unit","yes","YYN","1986","935174.21025704","935174.21025704","-79243.5289548451","1903827.86901804","0"
"101","unit","yes","YYN","1987","524433.987192542","524433.987192542","123984.004477334","913544.992368931","0"
"101","unit","yes","YYN","1988","17814.6220854633","17814.6220854633","1872.91611592684","29351.5468009917","0"
"101","unit","yes","YYN","1989","214833.892085727","214833.892085727","55055.6197406372","389725.638540428","0"
"101","unit","yes","YYN","1990","1077529.46045754","1077529.46045754","384113.232680795","1954884.51357253","0"
"101","unit","yes","YYN","1991","593590.21572159","593590.21572159","253695.814942808","933565.672425968","0"
"101","unit","yes","YYN","1992","817063.166426263","817063.166426263","308665.232635443","1223218.93621154","0"
"101","unit","yes","YYN","1993","256070.949337009","256070.949337009","120700.783528988","384593.724339029","0"
"101","unit","yes","YYN","1994","84665.6165038922","84665.6165038922","24911.5246614808","151797.222773188","0"
"101","unit","yes","YYN","1995","230796.742839979","230796.742839979","67320.6307992412","379425.198500576","0"
"101","unit","yes","YYN","1996","421143.088383718","421143.088383718","67063.6220022687","880894.018760982","0"
"101","unit","yes","YYN","1997","686128.722515353","686128.722515353","66406.27511567","1356927.13694392","0"
"101","unit","yes","YYN","1998","630659.416763899","630659.416763899","417554.111590154","844077.868155366","0"
"101","unit","yes","YYN","1999","357357.012152588","357357.012152588","184700.864779915","584673.264495852","0"
"101","unit","yes","YYN","2000","169914.936839264","169914.936839264","87776.1944420031","252066.409525861","0"
"101","unit","yes","YYN","2001","1362122.98961285","1362122.98961285","668610.768407256","2061637.36430236","0"
"101","unit","yes","YYN","2002","936862.573965668","936862.573965668","353332.895524895","1502728.50931463","0"
"101","unit","yes","YYN","2003","323287.526509128","323287.526509128","107993.261593985","382707.687243475","-1"
"101","unit","yes","YYN","2004","864333.661467467","864333.661467467","361094.535414237","1196479.91629596","0"
"101","unit","yes","YYN","2005","941475.484905704","941475.484905704","557353.142758859","1325734.39942838","0"
"101","unit","yes","YYN","2006","418649.603127022","418649.603127022","180011.938344355","651042.459089348","0"
"101","unit","yes","YYN","2007","714628.545522271","714628.545522271","467049.708550652","1006403.55750518","0"
"101","unit","yes","YYN","2008","1185748.60681189","1185748.60681189","586139.108101859","1882783.51376765","0"
"101","unit","yes","YYN","2009","575218.869341117","575218.869341117","347648.819359065","802405.230891377","0"
"101","unit","yes","YYN","2010","938663.011887915","938663.011887915","569198.836490979","1344567.07587258","0"
"101","unit","yes","YYN","2011","1960425.74029063","1960425.74029063","760796.173392197","2823187.21522806","0"
"101","unit","yes","YYN","2012","1765920.24712125","1765920.24712125","1048828.57348545","2478539.53333507","0"
"101","unit","yes","YYN","2013","1028700.3233519","1028700.3233519","631948.084787582","1425060.61394078","0"
"101","unit","yes","YYN","2014","1985865.48174691","1985865.48174691","477753.144146886","3464593.39458929","0"
"101","unit","yes","YYN","2015","2968031.37222993","2968031.37222993","1304912.37234328","4665603.77400021","0"
"101","unit","yes","YYN","2016","910201.007968617","910201.007968617","293958.716115052","1564489.71939271","0"
"101","unit","yes","YYN","2017","302054.096158309","302054.096158309","74425.9493188791","534980.69748781","0"
"101","unit","yes","YYN","2018","0",NA,"0","0","0"
"101","unit","yes","NNY","1976","2192467.39381993","2192467.39381993","944543.755838758","2893627.23599565","0"
"101","unit","yes","NNY","1977","0",NA,"0","0","0"
"101","unit","yes","NNY","1978","0",NA,"0","0","0"
"101","unit","yes","NNY","1979","0",NA,"0","0","0"
"101","unit","yes","NNY","1980","0",NA,"0","0","0"
"101","unit","yes","NNY","1981","880029.804334426","880029.804334426","308587.616859803","1405865.62607089","0"
"101","unit","yes","NNY","1982","0",NA,"0","0","0"
"101","unit","yes","NNY","1983","0",NA,"0","0","0"
"101","unit","yes","NNY","1984","0",NA,"0","0","0"
"101","unit","yes","NNY","1985","799723.009623589","799723.009623589","0","1599321.10279807","0"
"101","unit","yes","NNY","1986","0",NA,"0","0","0"
"101","unit","yes","NNY","1987","33060.5951610503","33060.5951610503","0","66115.0562116104","0"
"101","unit","yes","NNY","1988","0",NA,"0","0","0"
"101","unit","yes","NNY","1989","15464.9267838971","15464.9267838971","-3.22202753308899e-12","37112.1962181236","0"
"101","unit","yes","NNY","1990","0",NA,"0","0","0"
"101","unit","yes","NNY","1991","190726.133070913","190726.133070913","54913.8444830308","326561.873857113","0"
"101","unit","yes","NNY","1992","1770360.06364094","1770360.06364094","0","2901880.03608596","0"
"101","unit","yes","NNY","1993","0",NA,"0","0","0"
"101","unit","yes","NNY","1994","0",NA,"0","0","0"
"101","unit","yes","NNY","1995","0",NA,"0","0","0"
"101","unit","yes","NNY","1996","0",NA,"0","0","0"
"101","unit","yes","NNY","1997","0",NA,"0","145724.42520548","0"
"101","unit","yes","NNY","1998","188745.830365968","188745.830365968","91475.2780203118","286128.880086305","0"
"101","unit","yes","NNY","1999","0",NA,"0","0","0"
"101","unit","yes","NNY","2000","0",NA,"0","0","0"
"101","unit","yes","NNY","2001","156604.501638345","156604.501638345","-2.57194663099038e-11","313204.803717074","0"
"101","unit","yes","NNY","2002","0",NA,"0","0","0"
"101","unit","yes","NNY","2003","6331.84058021828","6331.84058021828","0","12666.0237651572","-1"
"101","unit","yes","NNY","2004","1161601.16273544","1161601.16273544","558943.452420458","1764024.58128618","0"
"101","unit","yes","NNY","2005","928996.608339465","928996.608339465","488600.517613796","1369576.5267064","0"
"101","unit","yes","NNY","2006","62968.0181611901","62968.0181611901","0","125926.074781643","0"
"101","unit","yes","NNY","2007","349745.385944528","349745.385944528","169312.270608181","585530.879103046","0"
"101","unit","yes","NNY","2008","50167.211785589","50167.211785589","0","405377.676254847","0"
"101","unit","yes","NNY","2009","254897.49792279","254897.49792279","147139.474094988","362655.521750592","0"
"101","unit","yes","NNY","2010","583582.620196345","583582.620196345","367094.284598725","800244.228490944","0"
"101","unit","yes","NNY","2011","562914.498956642","562914.498956642","223754.729548748","870237.558775096","0"
"101","unit","yes","NNY","2012","292225.477629267","292225.477629267","149932.807287431","434646.836379369","0"
"101","unit","yes","NNY","2013","0",NA,"0","0","0"
"101","unit","yes","NNY","2014","773819.015012947","773819.015012947","0","1326253.85231736","0"
"101","unit","yes","NNY","2015","721731.61563229","721731.61563229","254618.120627445","1189489.32044047","0"
"101","unit","yes","NNY","2016","356471.375260682","356471.375260682","236935.538810864","475945.003414909","0"
"101","unit","yes","NNY","2017","0",NA,"0","0","0"
"101","unit","yes","NNY","2018","0",NA,"0","0","0"
"101","unit","yes","YNY","1976","2527120.86517654","2527120.86517654","1237200.66412084","3186329.10830819","0"
"101","unit","yes","YNY","1977","0",NA,"0","0","0"
"101","unit","yes","YNY","1978","0",NA,"0","0","0"
"101","unit","yes","YNY","1979","0",NA,"0","0","0"
"101","unit","yes","YNY","1980","0",NA,"0","0","0"
"101","unit","yes","YNY","1981","1016632.68944653","1016632.68944653","428328.005192805","1540345.1166559","0"
"101","unit","yes","YNY","1982","0",NA,"0","0","0"
"101","unit","yes","YNY","1983","0",NA,"0","0","0"
"101","unit","yes","YNY","1984","0",NA,"0","0","0"
"101","unit","yes","YNY","1985","922116.581836727","922116.581836727","122257.493084876","1721850.98556408","0"
"101","unit","yes","YNY","1986","0",NA,"0","0","0"
"101","unit","yes","YNY","1987","38143.2412876449","38143.2412876449","-4126.40195677632","71199.8861716994","0"
"101","unit","yes","YNY","1988","0",NA,"0","0","0"
"101","unit","yes","YNY","1989","17828.6851350322","17828.6851350322","1974.74529848127","39948.6884835676","0"
"101","unit","yes","YNY","1990","0",NA,"0","0","0"
"101","unit","yes","YNY","1991","220028.431510644","220028.431510644","84233.6161490063","355872.419993496","0"
"101","unit","yes","YNY","1992","2042657.91606566","2042657.91606566","119921.455289679","3174140.2099867","0"
"101","unit","yes","YNY","1993","0",NA,"0","0","0"
"101","unit","yes","YNY","1994","0",NA,"0","0","0"
"101","unit","yes","YNY","1995","0",NA,"0","0","0"
"101","unit","yes","YNY","1996","0",NA,"0","0","0"
"101","unit","yes","YNY","1997","0",NA,"-9095.01689590029","156866.172877894","0"
"101","unit","yes","YNY","1998","217752.111325646","217752.111325646","120453.891582353","315147.425633747","0"
"101","unit","yes","YNY","1999","0",NA,"0","0","0"
"101","unit","yes","YNY","2000","0",NA,"0","0","0"
"101","unit","yes","YNY","2001","180592.224145806","180592.224145806","23995.3787658156","337219.728147573","0"
"101","unit","yes","YNY","2002","0",NA,"0","0","0"
"101","unit","yes","YNY","2003","7301.26815671985","7301.26815671985","-790.517444042376","11875.5063211149","-1"
"101","unit","yes","YNY","2004","1339655.19626836","1339655.19626836","736972.461232452","1942202.95784539","0"
"101","unit","yes","YNY","2005","1070910.5600809","1070910.5600809","630510.63530423","1511485.76247812","0"
"101","unit","yes","YNY","2006","72598.9803170004","72598.9803170004","9628.13896429654","135557.223879619","0"
"101","unit","yes","YNY","2007","403452.20533355","403452.20533355","223025.564110768","645211.653534182","0"
"101","unit","yes","YNY","2008","57849.0843031503","57849.0843031503","7681.09504530704","445329.878421822","0"
"101","unit","yes","YNY","2009","293911.153670738","293911.153670738","186156.795823945","401691.576806751","0"
"101","unit","yes","YNY","2010","673282.159100961","673282.159100961","456724.386868665","889979.411079368","0"
"101","unit","yes","YNY","2011","642113.2737023","642113.2737023","238339.32815475","956106.437205713","0"
"101","unit","yes","YNY","2012","337084.156557307","337084.156557307","194767.470855702","479510.14051615","0"
"101","unit","yes","YNY","2013","0",NA,"0","0","0"
"101","unit","yes","YNY","2014","892258.811110258","892258.811110258","101600.649814602","1427869.57266484","0"
"101","unit","yes","YNY","2015","832098.183189459","832098.183189459","364965.209920016","1299794.0743505","0"
"101","unit","yes","YNY","2016","410862.43853831","410862.43853831","291289.973588456","530359.080685963","0"
"101","unit","yes","YNY","2017","0",NA,"0","0","0"
"101","unit","yes","YNY","2018","0",NA,"0","0","0"
"101","unit","yes","NNN","1976","2215640.03469397","2215640.03469397","944617.743991419","3324207.83645696","0"
"101","unit","yes","NNN","1977","365807.122069732","365807.122069732","44840.7867680948","736424.210833105","0"
"101","unit","yes","NNN","1978","677374.05788996","677374.05788996","169772.76121028","1218034.13282613","0"
"101","unit","yes","NNN","1979","338912.293537597","338912.293537597","90469.4196927936","558498.509271512","0"
"101","unit","yes","NNN","1980","81800.2893593161","81800.2893593161","0","274142.832560303","0"
"101","unit","yes","NNN","1981","2645384.17211963","2645384.17211963","719590.456505384","4509325.53236755","0"
"101","unit","yes","NNN","1982","819526.146527693","819526.146527693","1.28495798665517e-11","1791245.43378686","0"
"101","unit","yes","NNN","1983","0",NA,"0","0","0"
"101","unit","yes","NNN","1984","1157415.00117762","1157415.00117762","0","2603975.55115742","0"
"101","unit","yes","NNN","1985","799723.009623589","799723.009623589","0","1599593.56654227","0"
"101","unit","yes","NNN","1986","1298797.91557458","1298797.91557458","-1.28669676928154e-11","2523448.2729584","0"
"101","unit","yes","NNN","1987","193315.890567465","193315.890567465","28538.7514814008","358228.430160768","0"
"101","unit","yes","NNN","1988","0",NA,"0","0","0"
"101","unit","yes","NNN","1989","319818.979907661","319818.979907661","45442.6598425315","625676.11302094","0"
"101","unit","yes","NNN","1990","498351.565281745","498351.565281745","44706.5693153186","1117002.21306203","0"
"101","unit","yes","NNN","1991","1029077.6123433","1029077.6123433","371531.956486558","1686650.4533907","0"
"101","unit","yes","NNN","1992","1770360.06364094","1770360.06364094","528344.073976274","2901880.03608596","0"
"101","unit","yes","NNN","1993","154735.464762643","154735.464762643","0","309552.879597173","0"
"101","unit","yes","NNN","1994","0",NA,"0","0","0"
"101","unit","yes","NNN","1995","347712.952445882","347712.952445882","0","617848.90179838","0"
"101","unit","yes","NNN","1996","623298.102370647","623298.102370647","0","1602344.12660646","0"
"101","unit","yes","NNN","1997","877192.853083341","877192.853083341","59506.1129125796","1938287.22373455","0"
"101","unit","yes","NNN","1998","496911.978560969","496911.978560969","270144.347081927","723972.452920508","0"
"101","unit","yes","NNN","1999","163834.714064613","163834.714064613","48534.6973233606","328767.984740521","0"
"101","unit","yes","NNN","2000","0",NA,"0","0","0"
"101","unit","yes","NNN","2001","903025.948092735","903025.948092735","289317.430604302","1530907.36082174","0"
"101","unit","yes","NNN","2002","59303.4625357237","59303.4625357237","0","118636.59415198","0"
"101","unit","yes","NNN","2003","368243.562258415","368243.562258415","123056.815829555","613464.721851676","-1"
"101","unit","yes","NNN","2004","1180008.29217308","1180008.29217308","558987.694280911","1808218.98952556","0"
"101","unit","yes","NNN","2005","928996.608339465","928996.608339465","488600.517613796","1369503.42495133","0"
"101","unit","yes","NNN","2006","395744.859734143","395744.859734143","56942.2192003885","734538.966273678","0"
"101","unit","yes","NNN","2007","349745.385944528","349745.385944528","169287.954109655","585614.985820514","0"
"101","unit","yes","NNN","2008","492101.757453716","492101.757453716","199204.491453366","902331.89262496","0"
"101","unit","yes","NNN","2009","477526.483618006","477526.483618006","233812.389575886","721225.124317452","0"
"101","unit","yes","NNN","2010","1054905.9239941","1054905.9239941","537795.495028391","1572242.77147125","0"
"101","unit","yes","NNN","2011","1176632.36460805","1176632.36460805","467467.038275573","1773782.76353848","0"
"101","unit","yes","NNN","2012","895624.596087991","895624.596087991","382281.479956888","1409543.51625744","0"
"101","unit","yes","NNN","2013","328062.807060887","328062.807060887","103043.622996323","553044.79268371","0"
"101","unit","yes","NNN","2014","2816250.21113185","2816250.21113185","495313.772110197","4921113.66370748","0"
"101","unit","yes","NNN","2015","2909160.21651688","2909160.21651688","673406.698007457","5239440.38861479","0"
"101","unit","yes","NNN","2016","533303.814437408","533303.814437408","236908.069871748","829608.210664443","0"
"101","unit","yes","NNN","2017","406645.927989149","406645.927989149","44732.8734660001","774837.954665626","0"
"101","unit","yes","NNN","2018","0",NA,"0","0","0"
"101","unit","yes","YNN","1976","2541464.82026251","2541464.82026251","1227768.71935174","3649024.14774946","0"
"101","unit","yes","YNN","1977","377040.089716015","377040.089716015","34678.655148478","745251.624728862","0"
"101","unit","yes","YNN","1978","726971.86352785","726971.86352785","203638.577836387","1266016.1128938","0"
"101","unit","yes","YNN","1979","402669.475140767","402669.475140767","146307.281166373","616860.05025588","0"
"101","unit","yes","YNN","1980","96146.421677517","96146.421677517","19235.4926328117","298336.072040486","0"
"101","unit","yes","YNN","1981","2939507.14467124","2939507.14467124","966124.559288709","4792004.29395247","0"
"101","unit","yes","YNN","1982","1026658.63389693","1026658.63389693","171453.800065072","2023697.53259677","0"
"101","unit","yes","YNN","1983","0",NA,"0","0","0"
"101","unit","yes","YNN","1984","1335181.80393685","1335181.80393685","159669.621209866","2803952.8176308","0"
"101","unit","yes","YNN","1985","922116.581836727","922116.581836727","122252.32452577","1722056.67654562","0"
"101","unit","yes","YNN","1986","1233556.9941759","1233556.9941759","-120775.188278121","2492755.1621287","0"
"101","unit","yes","YNN","1987","223590.385141647","223590.385141647","54836.0440169999","388723.587740608","0"
"101","unit","yes","YNN","1988","0",NA,"0","0","0"
"101","unit","yes","YNN","1989","384105.883855739","384105.883855739","93964.470853476","681724.97845883","0"
"101","unit","yes","YNN","1990","560478.634597256","560478.634597256","60329.5318841764","1176208.1287286","0"
"101","unit","yes","YNN","1991","1187180.43144318","1187180.43144318","529714.099114102","1844802.76255957","0"
"101","unit","yes","YNN","1992","2042657.91606566","2042657.91606566","761385.305201818","3174268.58270718","0"
"101","unit","yes","YNN","1993","178843.202711561","178843.202711561","23724.0749769783","333304.627526461","0"
"101","unit","yes","YNN","1994","0",NA,"0","0","0"
"101","unit","yes","YNN","1995","401079.705545086","401079.705545086","38886.4237059537","665402.795563737","0"
"101","unit","yes","YNN","1996","718988.553007829","718988.553007829","73549.517236386","1725409.77983949","0"
"101","unit","yes","YNN","1997","886228.346586015","886228.346586015","24809.5195853782","1780909.48393603","0"
"101","unit","yes","YNN","1998","573276.942144121","573276.942144121","346452.94434714","800342.431728508","0"
"101","unit","yes","YNN","1999","188923.189611926","188923.189611926","73664.6406753005","358412.786707826","0"
"101","unit","yes","YNN","2000","0",NA,"0","0","0"
"101","unit","yes","YNN","2001","989828.4693325","989828.4693325","371684.259511251","1617092.49547327","0"
